Feature,Coefficient
Neighbourhood_ILHAS OCEÂNICAS DE TRINDADE,0.9767535520766107
Neighbourhood_SANTOS DUMONT,0.5049885590362432
appointment_day_of_week_Saturday,0.48678292922300265
wait_days,0.4468053245663864
Neighbourhood_UNIVERSITÁRIO,0.37644402841105473
Neighbourhood_SÃO PEDRO,0.33678496622328075
Neighbourhood_PARQUE MOSCOSO,0.3291266232513975
Neighbourhood_ANDORINHAS,0.32849520294847195
Neighbourhood_ITARARÉ,0.3221796038939862
Neighbourhood_ILHA DAS CAIEIRAS,0.2908315215577202
Neighbourhood_CARATOÍRA,0.28795662963779406
Neighbourhood_ILHA DO FRADE,0.28762072601442673
Neighbourhood_SANTA CLARA,0.25066365592616524
Neighbourhood_ILHA DO PRÍNCIPE,0.24648271239107816
Neighbourhood_DO MOSCOSO,0.24565851577554335
Neighbourhood_ARIOVALDO FAVALESSA,0.24209283092839554
Neighbourhood_SÃO JOSÉ,0.23588150000371846
Neighbourhood_GRANDE VITÓRIA,0.22284152463477688
Neighbourhood_GURIGICA,0.19950616079206
Neighbourhood_SANTA LÚCIA,0.19926978169748866
Neighbourhood_BENTO FERREIRA,0.1799382634991583
sms_received,0.17460859951722152
Neighbourhood_PIEDADE,0.17240556488162048
Neighbourhood_BARRO VERMELHO,0.1714168193073701
Neighbourhood_HORTO,0.15887607105251014
Neighbourhood_PRAIA DO SUÁ,0.14912146909141868
Neighbourhood_DA PENHA,0.13743054845226105
Neighbourhood_GOIABEIRAS,0.13588903789501297
scheduled_hour,0.12986145013304082
Neighbourhood_CENTRO,0.12572664014135274
Neighbourhood_ESTRELINHA,0.11551195451600152
Neighbourhood_PRAIA DO CANTO,0.11272051210430786
Neighbourhood_ROMÃO,0.11125382557227989
Neighbourhood_SANTA LUÍZA,0.1078807541338809
Neighbourhood_SANTO ANDRÉ,0.08744996473314966
Neighbourhood_JESUS DE NAZARETH,0.08724732678738639
Neighbourhood_BONFIM,0.07889492298912207
Neighbourhood_ENSEADA DO SUÁ,0.06679207791370832
Neighbourhood_COMDUSA,0.05699998151126856
Neighbourhood_INHANGUETÁ,0.05555515939579258
Neighbourhood_NOVA PALESTINA,0.05456324875977738
scheduled_day_of_week_Monday,0.052698676429249865
Scholarship,0.0490441927415898
scheduled_day_of_week_Wednesday,0.04778304030415496
Neighbourhood_SANTA HELENA,0.03987583551231907
scheduled_day_of_week_Tuesday,0.029759166507032125
Diabetes,0.02571140788280076
scheduled_day_of_week_Thursday,0.024508763314174044
Alcoholism,0.021900928685228797
Neighbourhood_SÃO BENEDITO,0.019041638413438384
Neighbourhood_BELA VISTA,0.016743440391856976
has_handicap,0.015873158350342927
Neighbourhood_SANTOS REIS,0.011891727725229067
Neighbourhood_MARUÍPE,0.00677803450316449
Neighbourhood_SANTA CECÍLIA,-0.014265278449306983
Neighbourhood_SANTA TEREZA,-0.01901081637102937
hypertension,-0.027682124558386784
Neighbourhood_SANTO ANTÔNIO,-0.028882430283053755
Neighbourhood_FORTE SÃO JOÃO,-0.03028082850365672
Gender_M,-0.03632250279318038
Neighbourhood_REPÚBLICA,-0.04364708908725861
Neighbourhood_SÃO CRISTÓVÃO,-0.04961053286229001
Neighbourhood_CONQUISTA,-0.05426317060817359
Neighbourhood_BOA VISTA,-0.06263746432036892
row_id,-0.07092270999613878
Neighbourhood_CRUZAMENTO,-0.0730320543034768
Neighbourhood_CONSOLAÇÃO,-0.09087137132476232
appointment_day_of_week_Thursday,-0.10356209266913631
Neighbourhood_FONTE GRANDE,-0.10892456775977966
Neighbourhood_MARIA ORTIZ,-0.11148784131175227
appointment_day_of_week_Wednesday,-0.12434794664655079
Neighbourhood_REDENÇÃO,-0.13207416893176677
appointment_day_of_week_Monday,-0.13604259792220152
Neighbourhood_TABUAZEIRO,-0.14325451405506578
Neighbourhood_MATA DA PRAIA,-0.14661974424563387
Neighbourhood_RESISTÊNCIA,-0.14887251183311032
Neighbourhood_SEGURANÇA DO LAR,-0.15433199035756576
appointment_day_of_week_Tuesday,-0.16148372308357886
age,-0.1645043271275623
Neighbourhood_ILHA DE SANTA MARIA,-0.16686839365559664
Neighbourhood_MÁRIO CYPRESTE,-0.1672119472372092
Neighbourhood_FRADINHOS,-0.16753417019488073
Neighbourhood_PARQUE INDUSTRIAL,-0.17135723722105067
Neighbourhood_JARDIM DA PENHA,-0.18981709687069406
Neighbourhood_ANTÔNIO HONÓRIO,-0.21410001374292634
Neighbourhood_VILA RUBIM,-0.216266144428283
Neighbourhood_JARDIM CAMBURI,-0.26106497316030053
Neighbourhood_DO CABRAL,-0.2708029720337321
Neighbourhood_MONTE BELO,-0.27764281972485
Neighbourhood_DO QUADRO,-0.2797575854282147
Neighbourhood_JABOUR,-0.2820707133867756
Neighbourhood_JOANA D´ARC,-0.2885304189802687
Neighbourhood_MORADA DE CAMBURI,-0.30017648090079807
Neighbourhood_SANTA MARTHA,-0.3237229469826374
Neighbourhood_NAZARETH,-0.35185918780925723
Neighbourhood_JUCUTUQUARA,-0.38595217957052896
Neighbourhood_ILHA DO BOI,-0.40746643694386414
Neighbourhood_SOLON BORGES,-0.42728490620073806
Neighbourhood_DE LOURDES,-0.4368350221030696
Neighbourhood_PONTAL DE CAMBURI,-0.4637651699601426
scheduled_day_of_week_Saturday,-1.1518096617398148
